,roc_auc,pr_auc,test_size
target_over_19.5,0.9439216400981182,0.9445592290239282,13343
target_over_24.5,0.9496588162293433,0.831364532904289,13343
target_over_29.5,0.960209290867373,0.6268726864318053,13343
