year,team,opponent,opponent_defensive_avg
2020,Hawthorn,Geelong,12.783653846153847
2020,Hawthorn,Richmond,13.900990099009901
2020,Hawthorn,North Melbourne,13.970588235294118
2020,Hawthorn,Carlton,12.876262626262626
2020,Hawthorn,Fremantle,13.33030303030303
2020,Hawthorn,West Coast,13.91161616161616
2020,Hawthorn,Port Adelaide,12.836363636363636
2020,Hawthorn,Essendon,13.8125
2020,Hawthorn,Adelaide,13.943181818181818
2020,Hawthorn,St Kilda,13.318181818181818
2020,Hawthorn,Western Bulldogs,13.297727272727272
2020,Hawthorn,Gold Coast,13.975935828877006
2020,Hawthorn,Sydney,13.50997150997151
2020,Hawthorn,Greater Western Sydney,12.903743315508022
2020,Hawthorn,Melbourne,13.963636363636363
2020,Hawthorn,Collingwood,13.371702637889689
2020,Melbourne,Fremantle,13.33030303030303
2020,Melbourne,Greater Western Sydney,12.903743315508022
2020,Melbourne,Essendon,13.8125
2020,Melbourne,West Coast,13.91161616161616
2020,Melbourne,Carlton,12.876262626262626
2020,Melbourne,Gold Coast,13.975935828877006
2020,Melbourne,Hawthorn,14.474747474747474
2020,Melbourne,Brisbane Lions,12.97841726618705
2020,Melbourne,Adelaide,13.943181818181818
2020,Melbourne,Geelong,12.783653846153847
2020,Melbourne,Richmond,13.900990099009901
2020,Melbourne,Port Adelaide,12.836363636363636
2020,Melbourne,North Melbourne,13.970588235294118
2020,Melbourne,Collingwood,13.371702637889689
2020,Melbourne,Western Bulldogs,13.297727272727272
2020,Melbourne,St Kilda,13.318181818181818
2020,Melbourne,Sydney,13.50997150997151
2020,North Melbourne,St Kilda,13.318181818181818
2020,North Melbourne,Sydney,13.50997150997151
2020,North Melbourne,Hawthorn,14.474747474747474
2020,North Melbourne,Essendon,13.8125
2020,North Melbourne,Collingwood,13.371702637889689
2020,North Melbourne,Gold Coast,13.975935828877006
2020,North Melbourne,Greater Western Sydney,12.903743315508022
2020,North Melbourne,Western Bulldogs,13.297727272727272
2020,North Melbourne,Carlton,12.876262626262626
2020,North Melbourne,Adelaide,13.943181818181818
2020,North Melbourne,Geelong,12.783653846153847
2020,North Melbourne,Melbourne,13.963636363636363
2020,North Melbourne,Brisbane Lions,12.97841726618705
2020,North Melbourne,Port Adelaide,12.836363636363636
2020,North Melbourne,Fremantle,13.33030303030303
2020,North Melbourne,West Coast,13.91161616161616
2020,North Melbourne,Richmond,13.900990099009901
2020,Port Adelaide,Gold Coast,13.975935828877006
2020,Port Adelaide,Adelaide,13.943181818181818
2020,Port Adelaide,Fremantle,13.33030303030303
2020,Port Adelaide,West Coast,13.91161616161616
2020,Port Adelaide,Brisbane Lions,12.97841726618705
2020,Port Adelaide,Greater Western Sydney,12.903743315508022
2020,Port Adelaide,Carlton,12.876262626262626
2020,Port Adelaide,St Kilda,13.318181818181818
2020,Port Adelaide,Melbourne,13.963636363636363
2020,Port Adelaide,Western Bulldogs,13.297727272727272
2020,Port Adelaide,Richmond,13.900990099009901
2020,Port Adelaide,Geelong,12.783653846153847
2020,Port Adelaide,Hawthorn,14.474747474747474
2020,Port Adelaide,Sydney,13.50997150997151
2020,Port Adelaide,North Melbourne,13.970588235294118
2020,Port Adelaide,Essendon,13.8125
2020,Port Adelaide,Collingwood,13.371702637889689
2020,Richmond,Melbourne,13.963636363636363
2020,Richmond,Sydney,13.50997150997151
2020,Richmond,North Melbourne,13.970588235294118
2020,Richmond,Greater Western Sydney,12.903743315508022
2020,Richmond,Western Bulldogs,13.297727272727272
2020,Richmond,Brisbane Lions,12.97841726618705
2020,Richmond,Port Adelaide,12.836363636363636
2020,Richmond,Gold Coast,13.975935828877006
2020,Richmond,Essendon,13.8125
2020,Richmond,West Coast,13.91161616161616
2020,Richmond,Fremantle,13.33030303030303
2020,Richmond,Geelong,12.783653846153847
2020,Richmond,Adelaide,13.943181818181818
2020,Richmond,St Kilda,13.318181818181818
2020,Richmond,Carlton,12.876262626262626
2020,Richmond,Collingwood,13.371702637889689
2020,Richmond,Hawthorn,14.474747474747474
2020,St Kilda,Hawthorn,14.474747474747474
2020,St Kilda,Richmond,13.900990099009901
2020,St Kilda,Carlton,12.876262626262626
2020,St Kilda,Fremantle,13.33030303030303
2020,St Kilda,Adelaide,13.943181818181818
2020,St Kilda,Sydney,13.50997150997151
2020,St Kilda,Gold Coast,13.975935828877006
2020,St Kilda,Geelong,12.783653846153847
2020,St Kilda,Essendon,13.8125
2020,St Kilda,Brisbane Lions,12.97841726618705
2020,St Kilda,Melbourne,13.963636363636363
2020,St Kilda,West Coast,13.91161616161616
2020,St Kilda,Greater Western Sydney,12.903743315508022
2020,St Kilda,Western Bulldogs,13.297727272727272
2020,St Kilda,North Melbourne,13.970588235294118
2020,St Kilda,Collingwood,13.371702637889689
2020,St Kilda,Port Adelaide,12.836363636363636
2020,Sydney,Adelaide,13.943181818181818
2020,Sydney,Essendon,13.8125
2020,Sydney,North Melbourne,13.970588235294118
2020,Sydney,Western Bulldogs,13.297727272727272
2020,Sydney,West Coast,13.91161616161616
2020,Sydney,Gold Coast,13.975935828877006
