,stacking_auc,stacking_pr,voting_auc,voting_pr
over_195,0.9906698042157426,0.8499450151446917,0.9907881954689808,0.8500730370442838
over_245,0.9920781873907922,0.6912924949127142,0.992083360534362,0.689103750974374
over_295,0.9927007275110385,0.3606817813404778,0.992301188540175,0.34570468225497053
